Governor,Rodada,EventsPerSecond,LatenciaMedia_ms
performance,1,3803.51,2.10
performance,2,3660.55,2.18
performance,3,3522.82,2.27
performance,4,3741.20,2.13
performance,5,3695.44,2.16
performance,6,3588.12,2.22
performance,7,3712.05,2.15
performance,8,3645.90,2.19
performance,9,3611.33,2.21
performance,10,3728.40,2.14
powersave,1,1142.15,6.98
powersave,2,1098.42,7.26
powersave,3,1115.30,7.15
powersave,4,1085.11,7.35
powersave,5,1150.88,6.93
powersave,6,1122.45,7.11
powersave,7,1091.37,7.31
powersave,8,1104.66,7.22
powersave,9,1135.19,7.02
powersave,10,1110.02,7.18